,UNTR.JK,AVIA.JK,BJTM.JK,DSNG.JK,ELSA.JK,EMTK.JK,ESSA.JK,MPMX.JK,MTEL.JK,PGEO.JK,POWR.JK,PWON.JK,SCMA.JK,SIDO.JK,SIMP.JK,TAPG.JK,ASII.JK,BBNI.JK,BBRI.JK,BMRI.JK,INCO.JK,INDF.JK,JSMR.JK,PRDA.JK,SMGR.JK,TLKM.JK,UNVR.JK,BBCA.JK,ICBP.JK,INTP.JK,AKRA.JK,ANTM.JK,AUTO.JK,BBTN.JK,BIRD.JK,BJBR.JK,BTPS.JK,CTRA.JK,HEAL.JK,JPFA.JK,KLBF.JK,PNBN.JK,SILO.JK,SMSM.JK,SSMS.JK
AUTO.JK,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000049,0.000057,0.000660,0.000135,0.000125,0.000023,0.000154,0.000090,0.000046,0.000040,0.000028,0.000094,0.000155,0.000070,0.000037
BBTN.JK,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000052,0.000073,0.000135,0.000356,0.000104,0.000059,0.000137,0.000149,0.000026,0.000051,0.000042,0.000060,0.000026,0.000063,-0.000025
BIRD.JK,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000050,0.000081,0.000125,0.000104,0.000449,0.000026,0.000085,0.000113,-0.000009,0.000041,0.000042,0.000081,0.000038,0.000038,-0.000056
BJBR.JK,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000025,0.000026,0.000023,0.000059,0.000026,0.000074,0.000058,0.000038,0.000010,0.000015,0.000020,0.000024,-0.000004,0.000025,0.000021
BTPS.JK,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000073,0.000065,0.000154,0.000137,0.000085,0.000058,0.000552,0.000127,0.000042,0.000084,0.000035,0.000067,0.000045,0.000066,-0.000009
CTRA.JK,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000023,0.000049,0.000090,0.000149,0.000113,0.000038,0.000127,0.000449,0.000026,0.000057,0.000061,0.000097,0.000028,0.000035,-0.000026
HEAL.JK,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000035,0.000023,0.000046,0.000026,-0.000009,0.000010,0.000042,0.000026,0.000413,0.000047,0.000037,0.000001,0.000071,-0.000014,0.000027
JPFA.JK,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000025,0.000038,0.000040,0.000051,0.000041,0.000015,0.000084,0.000057,0.000047,0.000489,0.000049,0.000047,0.000086,0.000019,0.000066
KLBF.JK,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,-0.000006,0.000028,0.000042,0.000042,0.000020,0.000035,0.000061,0.000037,0.000049,0.000304,0.000031,0.000063,0.000043,0.000037
PNBN.JK,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000047,0.000092,0.000094,0.000060,0.000081,0.000024,0.000067,0.000097,0.000001,0.000047,0.000031,0.000640,-0.000011,0.000008,-0.000027
SILO.JK,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000012,0.000011,0.000155,0.000026,0.000038,-0.000004,0.000045,0.000028,0.000071,0.000086,0.000063,-0.000011,0.000989,0.000051,0.000104
SMSM.JK,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000009,0.000012,0.000070,0.000063,0.000038,0.000025,0.000066,0.000035,-0.000014,0.000019,0.000043,0.000008,0.000051,0.000577,0.000010
SSMS.JK,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000058,-0.000055,0.000037,-0.000025,-0.000056,0.000021,-0.000009,-0.000026,0.000027,0.000066,0.000037,-0.000027,0.000104,0.000010,0.001273
